id,titlu,tip,data_start,data_end,an_start,an_end,secol,secol_n,locatie,zona_aprox,judet,regiune,lat,lng,participanti,descriere,rezultat,teritoriu,observatii,sursa
RM-039,Prima bătălie de la Tapae (Cornelius Fuscus),Bătălie,87,87,87,87,sec. I d.Hr.,1,Trecătoarea Tapae — Porțile de Fier ale Transilvaniei (Caraș-Severin / Hunedoara),1,Caraș-Severin / Hunedoara,Transilvania (sud-vest),45.4,22.5,"Imperiul Roman (Cornelius Fuscus, Legiunea a V-a Alaudae) vs. Regatul Dac (Decebal)","Împăratul Domițian trimite la nord de Dunăre o armată uriașă sub comanda prefectului pretoriului Cornelius Fuscus. Armata romană cade într-o ambuscadă în trecătoarea Tapae: dacii obțin o victorie zdrobitoare, Fuscus este ucis, Legiunea a V-a Alaudae este masacrată, iar romanii pierd steagurile și mașinile de război.",Victorie dacică decisivă; dezastru militar roman,da,Identificarea locației Tapae este disputată (Porțile de Fier ale Transilvaniei).,"batalii.csv — sec. I d.Hr., pct. 3"
RM-040,A doua bătălie de la Tapae (Tettius Iulianus),Bătălie,88,88,88,88,sec. I d.Hr.,1,Trecătoarea Tapae — Porțile de Fier ale Transilvaniei (Caraș-Severin / Hunedoara),1,Caraș-Severin / Hunedoara,Transilvania (sud-vest),45.4,22.5,Imperiul Roman (Tettius Iulianus) vs. Regatul Dac (Decebal),"Domițian trimite o nouă armată sub comanda generalului Tettius Iulianus. Romanii câștigă bătălia de la Tapae și provoacă pierderi mari dacilor, dar nu pot înainta spre capitala Sarmizegetusa Regia din cauza terenului dificil și a altor revolte barbare la granițele imperiului.","Victorie romană tactică, fără finalizarea cuceririi Daciei",da,Identificarea locației Tapae este disputată.,"batalii.csv — sec. I d.Hr., pct. 3"
RM-041,Pacea din 89 d.Hr. între Domițian și Decebal,Încheiere de pace (final al războiului),89,89,89,89,sec. I d.Hr.,1,Dunărea de Jos (frontiera daco-romană),1,—,Dobrogea / Muntenia (sud),44.4,26.8,Imperiul Roman (Domițian) vs. Regatul Dac (Decebal),"Pace de compromis: Decebal devine client al Romei, primind subsidii în bani, meșteri militari și ingineri, resurse pe care le folosește pentru a-și fortifica regatul înaintea războaielor cu Traian. Evenimentul închide ciclul războiului din 85–89.","Pace de compromis; Dacia clientă a Romei, dar rearmată",da,Inclus pentru continuitatea cronologică a războaielor daco-romane.,"batalii.csv — sec. I d.Hr., pct. 3"
RM-042,Bătălia de la Tapae (101),Bătălie,101,101,101,101,sec. II d.Hr.,2,Trecătoarea Tapae — Porțile de Fier ale Transilvaniei (Caraș-Severin / Hunedoara),1,Caraș-Severin / Hunedoara,Transilvania (sud-vest),45.4,22.5,Imperiul Roman (Traian) vs. Regatul Dac (Decebal),"În campania din 101, trupele romane obțin o victorie grea în fața dacilor la „Porțile de Fier ale Transilvaniei”, deschizând drumul spre interiorul Daciei, dar nu și cucerirea imediată a capitalei.",Victorie romană dificilă,da,Identificarea locației este disputată.,"batalii.csv — sec. II d.Hr., pct. 1"
RM-043,Bătălia de la Adamclisi (iarna 101–102),Bătălie,101,102,101,102,sec. II d.Hr.,2,Adamclisi (județul Constanța),0,Constanța,Dobrogea,44.083,27.953,Imperiul Roman (Traian) vs. daci și sarmați roxolani,"O contraofensivă de amploare a dacilor, aliați cu sarmații roxolani la sudul Dunării, este zdrobită de Traian. Victoria romană este comemorată prin monumentul triumfal de la Adamclisi (Tropaeum Traiani).",Victoria romană; consolidarea controlului asupra Dobrogei,da,—,"batalii.csv — sec. II d.Hr., pct. 1"
RM-044,Primul Război Daco-Roman (101–102),Război / campanie,101,102,101,102,sec. II d.Hr.,2,"Dacia (Banat, Transilvania de sud) și Dobrogea",1,—,Dacia / Dobrogea,45.5,23.0,Imperiul Roman (împăratul Traian) vs. Regatul Dac (Decebal),"Primul dintre cele două războaie majore daco-romane: Traian traversează Dunărea pentru a neutraliza puterea militară a dacilor. Include bătăliile de la Tapae și Adamclisi; se încheie cu o pace provizorie (102 d.Hr.), prin care Decebal acceptă condițiile romane, dar le încalcă ulterior.",Pace provizorie în 102; Dacia devine regat client cu condiții umilitoare,da,—,"batalii.csv — sec. II d.Hr., pct. 1"
RM-045,Al Doilea Război Daco-Roman și căderea Sarmizegetusei (105–106),Război / cucerire,105,106,105,106,sec. II d.Hr.,2,"Dacia (capitala Sarmizegetusa Regia, jud. Hunedoara)",0,Hunedoara,Transilvania,45.623,23.31,Imperiul Roman (Traian) vs. Regatul Dac (Decebal),"Declanșat după încălcarea condițiilor păcii din 102 de către Decebal. Romanii atacă pe mai multe fronturi, asediază și distrug capitala Sarmizegetusa Regia; Decebal se sinucide pentru a nu cădea prizonier, iar o mare parte a Daciei devine provincie romană.",Cucerirea Daciei și crearea provinciei romane Dacia,da,—,"batalii.csv — sec. II d.Hr., pct. 1"
RM-046,Asediul și distrugerea Sarmizegetusei Regia,Asediu,106,106,106,106,sec. II d.Hr.,2,Sarmizegetusa Regia — Grădiștea de Munte (județul Hunedoara),0,Hunedoara,Transilvania,45.623,23.31,Imperiul Roman (Traian) vs. Regatul Dac (Decebal),"Efectivul final al celui de-al doilea război: capitalele regatului dacic sunt asediate și distruse de legiunile romane. Decebal se sinucide, iar tezaurul regal este capturat; evenimentul marchează sfârșitul regatului dac independent.",Căderea capitalei dacice; sfârșitul regatului lui Decebal,da,—,"batalii.csv — sec. II d.Hr., pct. 1"
RM-047,Atacurile dacilor liberi și ale iazigilor asupra Daciei romane,Invazii / conflicte de frontieră,117,118,117,118,sec. II d.Hr.,2,"Provincia Dacia (Transilvania, Banat, Câmpia de Vest)",1,—,Dacia,46.3,23.0,"Dacii liberi și sarmații (iazigi din Câmpia de Vest, roxolani din Moldova/Muntenia) vs. Imperiul Roman","Moartea împăratului Traian (117 d.Hr.) declanșează o criză majoră la frontierele noii provincii Dacia: dacii rămași în afara granițelor, în alianță cu triburile sarmate, atacă violent provincia. Guvernatorul Gaius Julius Quadratus Bassus este ucis în lupte, iar Hadrian vine personal pe Dunăre și reorganizează administrativ și militar regiunea.",Respigerea atacurilor; reorganizarea apărării provinciei,da,Zonă aproximativă.,"batalii.csv — sec. II d.Hr., pct. 2"
RM-048,Războaiele Marcomanice — atacurile asupra Daciei,Războaie / invazii,166,180,166,180,sec. II d.Hr.,2,Dacia (Transilvania și Banat),1,—,Dacia,46.2,23.2,"Coaliție de triburi germanice și sarmate (marcomani, cvazi, iazigi, bastarni, daci liberi) vs. Imperiul Roman (Marcus Aurelius)","În timpul domniei lui Marcus Aurelius, o coaliție uriașă de triburi germanice și sarmate atacă frontierele imperiului, inclusiv Dacia. Transilvania și Banatul sunt puternic afectate de incursiunile iazigilor și ale dacilor liberi. Romanii reușesc cu greu să stabilizeze situația, transformând Dacia într-o zonă puternic militarizată (Legiunea a V-a Macedonica este adusă la Potaissa — Turda).",Stabilizare dificilă; militarizare intensă a Daciei,da,—,"batalii.csv — sec. II d.Hr., pct. 3"
RM-049,Invazia costobocilor (170 d.Hr.),Invazie,170,170,170,170,sec. II d.Hr.,2,"Dacia și, în înaintare, spre Balcani și Grecia",1,—,Dacia / Balcani,46.0,24.0,Costoboci (daci liberi din nordul și nord-estul României) vs. Imperiul Roman,"În cadrul războaielor marcomanice, dacii liberi costoboci străpung liniile romane, devastează Dacia și coboară prin Balcani până în Grecia, înainte de a fi opriți și respinși.",Devastarea Daciei; respingerea ulterioară a invadatorilor,da,—,"batalii.csv — sec. II d.Hr., pct. 3"
RM-050,Atacurile carpilor și ale dacilor liberi (214–248),Invazii / conflicte recurente,214,248,214,248,sec. III d.Hr.,3,Provincia Dacia și Moesia (Dobrogea de astăzi),1,—,Dacia / Dobrogea,45.8,26.0,Carpii și dacii liberi (costoboci) vs. Imperiul Roman,"Profitând de slăbirea Romei, carpii (zona Moldovei) și costobocii atacă în mod repetat garnizoanele romane din Dacia și Moesia. Campaniile romane se întind pe mai multe decenii, iar frontiera este supusă unei presiuni constante.",Slăbirea treptată a apărării romane; pierderi teritoriale ulterioare,da,—,"batalii.csv — sec. III d.Hr., pct. 1"
RM-051,Războiul lui Maximin Tracul împotriva carpilor și iazigilor,Război / campanie,236,238,236,238,sec. III d.Hr.,3,Linia Dunării și Dacia,1,—,Dacia / Dobrogea,44.8,24.5,Imperiul Roman (Maximin Tracul) vs. carpi și sarmați iazigi,"Împăratul roman Maximin Tracul vine personal pe linia Dunării și în Dacia pentru a respinge atacurile violente ale carpilor și ale sarmaților iazigi, obținând succese temporare în fața acestora.",Represalii romane reușite; consolidare temporară a frontierei,da,—,"batalii.csv — sec. III d.Hr., pct. 1"
RM-052,Invazia carpilor (245–247) și abandonarea Limesului Transalutanus,Invazie / ofensivă,245,247,245,247,sec. III d.Hr.,3,"Limes Transalutanus (Muntenia), Câmpia Română",1,—,Muntenia,44.8,25.0,Carpii vs. Imperiul Roman (Filip Arabul),"Carpii declanșează o ofensivă masivă, distrugând fortificațiile romane de pe Limesul Transalutanus (linia defensivă din Muntenia). Împăratul Filip Arabul vine în Dacia și poartă lupte grele; deși îi învinge și primește titlul de Carpicus Maximus, romanii evacuează definitiv această linie, retrăgându-se la vest de râul Olt.",Victorie romană costisitoare; abandonarea strategică a liniei Transalutanus,da,Locația pe hartă este aproximativă (linia Transalutanus).,"batalii.csv — sec. III d.Hr., pct. 1"
RM-053,Primul asediu al Sarmizegetusei (Ulpia Traiana) — invazia goților și a coalițiilor barbare,Invazie / asediu,c. 248,c. 249,248,249,sec. III d.Hr.,3,Ulpia Traiana Sarmizegetusa (județul Hunedoara),0,Hunedoara,Transilvania,45.517,22.787,"Coaliție barbară: goți, carpi, taifali, bastarni vs. Imperiul Roman (Dacia)","O armată confederată formată din goți, carpi, taifali și bastarni trece Prutul și Nistrul; un corp de oaste pătrunde adânc în Transilvania, asediind și provocând mari distrugeri capitalei provinciei, Ulpia Traiana Sarmizegetusa.",Distrugerea parțială a capitalei provinciale; slăbirea Daciei romane,da,Datare aproximativă (cca. 248–249).,"batalii.csv — sec. III d.Hr., pct. 2"
RM-054,Războaiele „scitice” din Dobrogea (Scythia Minor),Invazii / asedii,248,270,248,270,sec. III d.Hr.,3,"Dobrogea: Histria, Tomis (Constanța), Callatis (Mangalia)",1,Constanța / Tulcea,Dobrogea,44.0,28.4,Goți și heruli vs. Imperiul Roman (Scythia Minor),"Dobrogea este devastată prin atacuri maritime și terestre organizate de goți și heruli. Orașe înfloritoare precum Histria, Tomis și Callatis sunt asediate sau distruse parțial în repetate rânduri, fiind apoi refăcute parțial de către romani.",Distrugeri masive ale orașelor dobrogene; declin urban,da,—,"batalii.csv — sec. III d.Hr., pct. 2"
RM-055,Bătălia de la Naissus (context — în afara teritoriului României),Bătălie (context regional),269,269,269,269,sec. III d.Hr.,3,"Naissus (azi Niș, Serbia) — în afara teritoriului actual al României",1,—,—,43.32,21.9,Imperiul Roman (Claudius al II-lea) vs. coaliție de peste 300.000 de goți și heruli,"Marea victorie a împăratului Claudius al II-lea (Gothicus) împotriva unei coaliții uriașe de goți și heruli; deși bătălia s-a dat la sud de Dunăre, ea a salvat temporar provinciile romane de pe teritoriul României de la o distrugere completă.",Victoria romană; reducerea amenințării gotice asupra provinciilor dunărene,nu,Inclus ca eveniment de context regional; nu s-a desfășurat pe teritoriul actual al României.,"batalii.csv — sec. III d.Hr., pct. 2"
RM-056,Retragerea aureliană din Dacia,Retragere strategică / abandonare,271,275,271,275,sec. III d.Hr.,3,Dacia (întreg teritoriul de la nord de Dunăre),1,—,Dacia,45.8,23.5,"Imperiul Roman (Aurelian) vs. carpi, goți și alte triburi barbare","După ultimele victorii obținute în 271 împotriva carpilor și goților la nord de Dunăre, împăratul Aurelian decide strategic să abandoneze provincia, prea expusă și măcinată de decenii de războaie. Armata și administrația romană părăsesc definitiv teritoriul de la nord de Dunăre, granița imperială mutându-se pe fluviu; fosta provincie este ocupată treptat de vizigoți, carpi și taifali.",Abandonarea Daciei romane; ocuparea de către triburi germanice,da,"Eveniment de tip proces strategic, nu bătălie unică.","batalii.csv — sec. III d.Hr., pct. 3"
RM-057,Campaniile lui Constantin cel Mare împotriva goților și carpilor,Campanii / expediții,315,323,315,323,sec. IV d.Hr.,4,Oltenia și Muntenia (la nord de Dunăre),1,—,Oltenia / Muntenia,44.6,24.3,Imperiul Roman (Constantin cel Mare) vs. goți și carpi,"După retragerea aureliană, romanii păstrează capete de pod la nord de Dunăre. Constantin cel Mare declanșează o serie de ofensive majore pentru a-și securiza frontiera și a pedepsi triburile migratoare: armata romană trece Dunărea și poartă lupte grele în Oltenia și Muntenia, respingând atacurile goților și carpilor.",Respigerea atacurilor; refacerea prestigiului roman la nord de Dunăre,da,Zonă aproximativă; fără bătălii nominale în sursă.,"batalii.csv — sec. IV d.Hr., pct. 1"
RM-058,Războiul sarmatic-gotic din 332,Război / bătălie,332,332,332,332,sec. IV d.Hr.,4,Bazinele râurilor Mureș și Olt,1,—,Transilvania / Oltenia,45.9,23.0,Imperiul Roman (Constantin cel Mare) vs. goți (tervingi),"Constantin cel Mare obține o victorie zdrobitoare împotriva goților (tervingi) în bazinele râurilor Mureș și Olt. În urma conflictului, goții semnează un tratat de pace (foedus), devenind aliați (foederati) ai Romei și asigurând o perioadă de liniște la frontieră.",Victorie romană decisivă; foedus cu goții,da,Locația exactă a bătăliei nu este cunoscută.,"batalii.csv — sec. IV d.Hr., pct. 1"
RM-059,Campania lui Valens din 367 împotriva goților,Campanie / expediție punitivă,367,367,367,367,sec. IV d.Hr.,4,Trecerea Dunării pe la Daphne (lângă Oltenița) și teritoriile tervingilor,1,Călărași,Muntenia (sud),44.087,26.636,Imperiul Roman de Răsărit (Valens) vs. goți tervingi (Athanaric),"După încălcarea păcii de către goți (care sprijiniseră un pretendent la tronul imperial), Valens organizează expediții punitive masive. În 367, armata romană trece Dunărea pe un pod de vase pe la Daphne (lângă Oltenița) și devastează teritoriile tervingilor, dar aceștia se retrag în Munții Carpați (probabil în Buzău/Vrancea) pentru a evita o bătălie decisivă.","Devastarea teritoriilor gotice, fără bătălie decisivă",da,—,"batalii.csv — sec. IV d.Hr., pct. 2"
RM-060,Campania lui Valens din 369 și pacea de pe Dunăre,Campanie / tratat de pace,369,369,369,369,sec. IV d.Hr.,4,"Trecerea pe la Noviodunum (Isaccea, jud. Tulcea) și Dunărea de Jos",1,Tulcea,Dobrogea,45.268,28.458,Imperiul Roman de Răsărit (Valens) vs. goți tervingi (Athanaric),"Romanii atacă din nou, traversând pe la Noviodunum, și obțin o serie de victorii locale împotriva războinicilor conduși de Athanaric. Conflictul se încheie în toamna anului 369 prin faimosul tratat de pace semnat de Valens și Athanaric direct pe o corabie, la mijlocul Dunării.","Pace semnată pe Dunăre; încetarea ostilităților, graniță pe fluviu",da,—,"batalii.csv — sec. IV d.Hr., pct. 2"
RM-061,Războiul civil gotic dintre Athanaric și Fritigern,Război civil,c. 370,c. 375,370,375,sec. IV d.Hr.,4,Câmpia Română (teritoriile vizigotice),1,—,Muntenia / Oltenia,44.7,25.6,"Fracțiunea creștină ariană (Fritigern, cu sprijin roman) vs. fracțiunea păgână (Athanaric)","În rândul vizigoților izbucnește un conflict intern violent pentru conducerea triburilor din Câmpia Română: Fritigern, liderul facțiunii convertite la creștinismul arian, se războiește cu păgânul Athanaric și primește ajutor militar de la romani, măcinând forțele rivalului.",Slăbirea lui Athanaric; consolidarea lui Fritigern,da,Datare aproximativă; zonă aproximativă.,"batalii.csv — sec. IV d.Hr., pct. 3"
RM-062,Invazia hunilor (376) și prăbușirea stăpânirii gotice,Invazie,376,376,376,376,sec. IV d.Hr.,4,Estul și nordul Carpaților; linia Prutului/Siretului (valurile de pământ din Moldova),1,—,Moldova / Muntenia,46.8,27.5,Hunii vs. goți (Athanaric) și populațiile gotice din regiune,"Hunii atacă violent stăpânirile gotice de la est și nord de Carpați. Athanaric încearcă să organizeze o linie de apărare fortificată pe aliniamentul Prutului sau Siretului, atribuită uneori valurilor de pământ istorice din Moldova, dar este înfrânt rapid. Panicați, sute de mii de goți conduși de Fritigern se refugiază în 376 la granița Dunării, cerând azil în Imperiul Roman.",Prăbușirea puterii gotice în regiune; exodul goților peste Dunăre,da,—,"batalii.csv — sec. IV d.Hr., pct. 3"
RM-063,Războaiele defensive de pe limesul dunărean (Scythia Minor),Războaie defensive / asedii,c. 400,c. 500,400,500,sec. V d.Hr.,5,"Dobrogea: Capidava, Histria, Dinogetia și fortificațiile de pe Dunăre",1,Constanța / Tulcea,Dobrogea,44.6,28.3,"Imperiul Roman de Răsărit (Bizantin) vs. huni (rămășițe), uzi, sciri, heruli și primele incursiuni proto-bulgare","Dobrogea rămâne sub control bizantin și devine o zonă permanentă de război defensiv. Trupele romano-bizantine resping valuri succesive de atacatori migratori, iar fortificațiile de pe Dunăre (Capidava, Histria, Dinogetia) sunt frecvent atacate și reconstruite.","Menținerea controlului bizantin în Dobrogea, cu distrugeri și refaceri repetate",da,"Eveniment tip, pe mai multe decenii.","batalii.csv — sec. V d.Hr., pct. 4"
RM-064,Campaniile lui Attila de-a lungul Dunării,Invazii / campanii de jaf,441,447,441,447,sec. V d.Hr.,5,Scythia Minor (Dobrogea) și linia Dunării,1,Constanța / Tulcea,Dobrogea,44.6,28.3,Imperiul Hunic (Attila) vs. Imperiul Roman de Răsărit (Scythia Minor),"Hunii își stabilesc centrul puterii în Câmpia Panonică și controlează militar teritorii vaste, inclusiv Banatul, Crișana, Transilvania și Muntenia. Sub Attila (434–453), lansează atacuri devastatoare asupra provinciilor Imperiului Roman de Răsărit de-a lungul Dunării: orașele fortificate din Dobrogea sunt asediate, jefuite sau parțial distruse în anii 441–447 pentru a forța Constantinopolul să plătească subsidii uriașe.",Distrugeri în Dobrogea; plata unor subsidii uriașe de către Bizanț,da,—,"batalii.csv — sec. V d.Hr., pct. 1"
RM-065,Bătălia de la râul Nedao și revolta gepizilor,Bătălie / revoltă,454,454,454,454,sec. V d.Hr.,5,"Pe un afluent al Dunării, în zona panonică / bănățeană (locație disputată)",1,—,Banat / Panonia,45.8,20.1,Gepizi (Ardaric) și coaliația germanică vs. fiii lui Attila (Imperiul Hunic),"Imediat după moartea lui Attila (453), imperiul hunic se destramă în urma unei revolte masive a popoarelor germanice vasale, conduse de gepizi. În bătălia din 454 (localizată istoric pe un afluent al Dunării sau în zona panonico-bănățeană), Ardaric îi învinge pe fiii lui Attila; gepizii preiau apoi controlul teritorial asupra Transilvaniei și Banatului, nucleul Regatului Gepid.",Prăbușirea imperiului hunic; înființarea Regatului Gepid în Transilvania și Banat,partial,Locația exactă a bătăliei este disputată; consecințele privesc direct teritoriul României.,"batalii.csv — sec. V d.Hr., pct. 2"
RM-066,Conflictele ostrogoților cu gepizii,Conflicte teritoriale,c. 455,c. 500,455,500,sec. V d.Hr.,5,"Vestul și sudul României actuale (Banat, Crișana, Transilvania de vest)",1,—,Banat / Crișana / Transilvania (vest),45.9,21.5,Ostrogoți (inclusiv sub Teodoric cel Mare) vs. gepizi,"Ostrogoții, eliberați de sub huni, se află în dispute teritoriale constante cu gepizii și cu Imperiul Roman de Răsărit. Timp de decenii, grupuri masive de ostrogoți controlează sau atacă regiuni din vestul și sudul României actuale, generând ciocniri locale frecvente cu gepizii pentru rutele de jaf și pășunat.",Instabilitate cronică; fără un câștigător clar,da,Zonă aproximativă; fără bătălii nominale.,"batalii.csv — sec. V d.Hr., pct. 3"
RM-067,Incursiunile slave și proto-bulgare la Dunăre (începutul sec. VI),Incursiuni / invazii,c. 527,c. 533,527,533,sec. VI d.Hr.,6,"Muntenia, Oltenia și Dobrogea",1,—,Muntenia / Oltenia / Dobrogea,44.5,25.8,"Slavi (Antii, Sclaveni) și populații turanice (proto-bulgari, kutriguri) vs. Imperiul Bizantin","Începând cu domnia lui Iustin I și atingând apogeul sub Iustinian I (527–565), triburile slave și populațiile turanice atacă sistematic linia Dunării. Generalul bizantin Chilbudios, comandant al Thraciei din 530, trece de mai multe ori la nord de Dunăre pentru represalii, până când este învins și ucis în luptă (cca. 533).",Devastări în zona Dunării; moartea lui Chilbudios; reconstrucția fortificațiilor,da,Datare aproximativă a morții lui Chilbudios (c. 533).,"batalii.csv — sec. VI d.Hr., pct. 1"
RM-068,Războiul gepido-lombard (567) și ascensiunea avarilor,Război,567,567,567,567,sec. VI d.Hr.,6,Transilvania și Banat (Regatul Gepid),1,—,Transilvania / Banat,46.0,22.8,Longobarzi (Alboin) și Kaganatul Avar (Baian) vs. Regatul Gepid,"Conflictul militar major cu consecințe europene: conducătorul longobard Alboin se aliază cu Kaganatul Avar pentru a-i distruge pe gepizi. Gepizii sunt zdrobiți militar pe teritoriul Transilvaniei și al Panoniei, iar locul lor este luat de avari, care devin cea mai mare forță militară din regiune și preiau controlul politic asupra teritoriilor intracarpatice și din vestul României.",Distrugerea Regatului Gepid; hegemonia avară în bazinul carpatic,da,—,"batalii.csv — sec. VI d.Hr., pct. 2"
RM-069,Asediile avaro-slave asupra orașelor din Dobrogea,Asedii / invazii,580,587,580,587,sec. VI d.Hr.,6,"Dobrogea: Durostorum, Tropaeum Traiani, Histria, Tomis, Dinogetia",1,Constanța / Tulcea,Dobrogea,44.3,28.2,Avari și slavi vs. Imperiul Bizantin (orașele fortificate din Dobrogea),"Avarii, aliați adesea cu slavii, își îndreaptă atacurile spre Imperiul Bizantin, Dobrogea devenind una dintre principalele porți de invazie. În anii 580–587 asediază și distrug parțial marile orașe fortificate: Durostorum, Tropaeum Traiani, Histria, Tomis, Dinogetia.",Distrugerea parțială a orașelor dobrogene; declin urban pronunțat,da,—,"batalii.csv — sec. VI d.Hr., pct. 3"
RM-070,Campaniile lui Mauriciu la nord de Dunăre (bătăliile de pe Ialomița),Campanii / bătălii,591,602,591,602,sec. VI d.Hr.,6,Muntenia (zona râului Ialomița) și Dobrogea,1,Ialomița / Constanța,Muntenia / Dobrogea,44.7,27.0,Imperiul Bizantin (Priscus și Petru) vs. slavi și avari,"Împăratul bizantin Mauriciu refuză să mai plătească tribut avarilor și mută războiul la nord de Dunăre. Generalii săi trec fluviul în zona Munteniei și Dobrogei, obținând victorii militare importante împotriva slavilor și avarilor chiar pe teritoriul actual al României — de exemplu, bătăliile din zona râului Ialomița sau în apropiere de Dunăre, în anii 593 și 601–602.",Victorii bizantine temporare la nord de Dunăre,da,Locațiile exacte sunt aproximative.,"batalii.csv — sec. VI d.Hr., pct. 3"
RM-071,Conflictele de autoapărare ale comunităților locale (etnogeneza românească),Conflict local / autoapărare,c. 600,c. 700,600,700,sec. VI–VII d.Hr.,7,Zonele muntoase și împădurite ale Carpaților,1,—,Transilvania / Carpați,46.0,25.0,"Comunități locale daco-romane (obști sătești) vs. migratori (slavi, avari)","Populația autohtonă, fără armată centralizată, se organizează în comunități locale; conflictele cu migratorii sunt preponderent de autoapărare. Localnicii se retrag frecvent în zonele muntoase și împădurite pentru a evita rutele de invazie, generând un amestec etno-cultural complex cu slavii rămași la nord de Dunăre, proces care duce la definitivarea etnogenezei românești.",Supraviețuirea și consolidarea comunităților românești locale,da,Eveniment tip; nu există nume de lupte sau lideri consemnați.,"batalii.csv — sec. VII d.Hr., pct. 4"
RM-072,Revolta armatei bizantine de la Dunăre (602) și prăbușirea limesului,Revoltă militară / mutinie,602,602,602,602,sec. VI–VII d.Hr.,6,Tabăra militară bizantină de la Dunăre (teritoriul actual al României),1,—,Dunărea (Muntenia / Dobrogea),44.3,27.0,Armata bizantină cantonată la Dunăre (Phocas) vs. Imperiul Bizantin (Mauriciu),"În toamna anului 602, armata bizantină cantonată la Dunăre primește ordinul de a ierna la nord de fluviu, în teritoriul inamic (pe pământ românesc). Soldații se revoltă, conduși de centurionul Phocas, părăsesc frontiera și pornesc spre Constantinopol pentru a-l detrona pe împărat. Evenimentul marchează prăbușirea ireversibilă a limesului dunărean.",Detronarea lui Mauriciu; prăbușirea apărării dunărene și deschiderea drumului slavilor,da,Locația exactă a taberei nu este cunoscută.,"batalii.csv — sec. VI d.Hr., consecințe; sec. VII d.Hr., pct. 1"
RM-073,Invaziile avaro-slave și abandonarea orașelor din Dobrogea (602–626),Invazii / asedii,602,626,602,626,sec. VII d.Hr.,7,"Dobrogea: Histria, Tomis, Dinogetia, Tropaeum Traiani",1,Constanța / Tulcea,Dobrogea,44.4,28.2,Avari și slavi vs. Imperiul Bizantin (orașele din Dobrogea),"După revolta din 602, Dobrogea și restul teritoriului rămân complet expuse. Avarii și slavii declanșează atacuri devastatoare: fortărețele romano-bizantine din Dobrogea suferă asedii și distrugeri violente, multe fiind definitiv abandonate sau ruralizate în primele decenii ale secolului VII. Teritoriul României servește drept bază de operațiuni și coridor de trecere pentru atacurile care culminează cu asediul Constantinopolului din 626.",Sfârșitul vieții urbane antice în Dobrogea; dominare avaro-slavă,da,—,"batalii.csv — sec. VII d.Hr., pct. 1"
RM-074,Conflictele interne post-avare din Transilvania,Conflicte de uzură / revolta populațiilor supuse,c. 626,c. 680,626,680,sec. VII d.Hr.,7,Transilvania și zonele de vest ale României,1,—,Transilvania / Banat / Crișana,46.3,23.2,Kaganatul Avar vs. triburi slave și populații locale (protoromâne),"După eșecul asediului Constantinopolului din 626, autoritatea Hanatului Avar se clatină. În Transilvania și în zonele de vest au loc conflicte de uzură între avari și triburile slave sau populațiile locale care încearcă să scape de hegemonia nomadă; arheologia atestă distrugeri și schimbări de culturi materiale specifice acestei instabilități.",Slăbirea kaganatului avar; instabilitate politică,da,"Eveniment tip, fără bătălii nominale.","batalii.csv — sec. VII d.Hr., pct. 2"
RM-075,Bătălia de la Ongal (680),Bătălie,680,680,680,680,sec. VII d.Hr.,7,Zona fortificată Ongal — Delta Dunării / nordul Dobrogei / sudul Basarabiei,1,Tulcea,Dobrogea / Basarabia (historic),45.35,29.1,Protobulgari (hanul Asparuh) vs. Imperiul Bizantin (Constantin al IV-lea),"Triburile protobulgare conduse de hanul Asparuh migrează spre gurile Dunării. Împăratul bizantin Constantin al IV-lea organizează o expediție masivă pe apă și pe uscat, dar confruntarea din zona fortificată Ongal se soldează cu o victorie bulgară zdrobitoare, obținută în zonele mlăștinoase. În urma victoriei, bulgarii trec Dunărea și pun bazele Primului Imperiu Bulgar (681), controlând temporar și zonele de câmpie de la nord de Dunăre.",Victorie bulgară; înființarea Primului Imperiu Bulgar,partial,Localizarea exactă a Ongalului este disputată (Delta Dunării / Basarabia).,"batalii.csv — sec. VII d.Hr., pct. 3"
RM-076,Conflictele de frontieră ale Kaganatului Avar (declinul avar),Conflicte de frontieră / războaie civile,c. 700,c. 800,700,800,sec. VIII d.Hr.,8,"Transilvania, Banat, Crișana",1,—,Transilvania / Banat / Crișana,46.2,22.5,"Kaganatul Avar vs. populații slave și romanice locale; presiunea francă (Carol cel Mare, de la 791)","Avarii controlează politic populația sedentară; există numeroase ciocniri de intensitate mică și medie la granițele kaganatului. Campaniile decisive ale lui Carol cel Mare (începând din 791) și destabilizarea internă a avarilor generează conflicte violente care cuprind și vestul Transilvaniei sau Banatul, ducând la prăbușirea puterii avare.",Prăbușirea puterii avare; deschiderea teritoriului către expansiunea bulgară,da,"Eveniment tip, fără bătălii nominale.","batalii.csv — sec. VIII d.Hr., pct. 2"
